Date,AdjClose,Close,High,Low,Open,Volume,Ticker,sentiment_score,ret1d,sma_5,std_5,sma_10,std_10,sma_15,std_15,sma_20,std_20,bb_mid,bb_std,bb_upper,bb_lower,bb_width,vol_chg,vol_sma20,rel_vol20,rsi14,macd,macd_signal,macd_hist,atr14,target
2010-06-29,1.5926669836044312,1.5926669836044312,1.6666669845581055,1.1693329811096191,1.2666670083999634,281494500,TSLA,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0
2010-06-30,1.5886670351028442,1.5886670351028442,2.0280001163482666,1.553333044052124,1.7193330526351929,257806500,TSLA,0.0,-0.0025114782580187844,,,,,,,,,,,,,,-0.08415084486553026,,,,,,,0.0,0
2010-07-01,1.4639999866485596,1.4639999866485596,1.7280000448226929,1.3513330221176147,1.6666669845581055,123282000,TSLA,0.0,-0.07847273575876412,,,,,,,,,,,,,,-0.5218041438055285,,,,,,,0.0,0
2010-07-02,1.2799999713897705,1.2799999713897705,1.5399999618530273,1.24733304977417,1.5333329439163208,77097000,TSLA,0.0,-0.12568307167816883,,,,,,,,,,,,,,-0.37462889959604806,,,,,,,0.0,0
2010-07-06,1.0740000009536743,1.0740000009536743,1.3333330154418945,1.0553330183029175,1.3333330154418945,103003500,TSLA,0.0,-0.1609374805004331,1.399866795539856,0.22219795933146141,,,,,,,,,,,,0.336024748044671,,,,,,,0.0,0
2010-07-07,1.053333044052124,1.053333044052124,1.108667016029358,0.9986670017242432,1.0933330059051514,103825500,TSLA,0.0,-0.01924297661377916,1.2920000076293945,0.2357038614745664,,,,,,,,,,,,0.00798031134864341,,,,,,,0.0,1
2010-07-08,1.1640000343322754,1.1640000343322754,1.1679999828338623,1.0379999876022339,1.0759999752044678,115671000,TSLA,0.0,0.10506362722128282,1.2070666074752807,0.169211034599936,,,,,,,,,,,,0.11409046910441067,,,,,,,0.0,0
2010-07-09,1.159999966621399,1.159999966621399,1.1933330297470093,1.1033329963684082,1.1720000505447388,60759000,TSLA,0.0,-0.0034364841863351314,1.1462666034698485,0.0897869726548464,,,,,,,,,,,,-0.4747257307363125,,,,,,,0.0,0
2010-07-12,1.136667013168335,1.136667013168335,1.2046669721603394,1.1333329677581787,1.196666955947876,33037500,TSLA,0.0,-0.02011461562453598,1.1176000118255616,0.050856348891605216,,,,,,,,,,,,-0.45625339455883074,,,,,,,0.0,1
2010-07-13,1.2093329429626465,1.2093329429626465,1.2426669597625732,1.1266670227050781,1.1593329906463623,40201500,TSLA,0.0,0.0639289510054164,1.144666600227356,0.057437882879573514,1.272266697883606,0.20371603965156415,,,,,,,,,,0.21684449489216795,,,,,,,0.0,1
