Date,AdjClose,Close,High,Low,Open,Volume,Ticker,ret1d,sma_5,std_5,sma_10,std_10,sma_15,std_15,sma_20,std_20,bb_mid,bb_std,bb_upper,bb_lower,bb_width,vol_chg,vol_sma20,rel_vol20,rsi14,macd,macd_signal,macd_hist,atr14,target
2021-07-29,34.81999969482422,34.81999969482422,40.25,33.349998474121094,38.0,102474700,HOOD,,,,,,,,,,,,,,,,,,,,,,0.0,1
2021-07-30,35.150001525878906,35.150001525878906,36.97999954223633,33.25,34.93000030517578,40632200,HOOD,0.009477364559073775,,,,,,,,,,,,,,-0.6034904225140449,,,,,,,0.0,1
2021-08-02,37.68000030517578,37.68000030517578,37.97999954223633,35.29999923706055,35.970001220703125,19948500,HOOD,0.07197720254533091,,,,,,,,,,,,,,-0.5090470119757237,,,,,,,0.0,1
2021-08-03,46.79999923706055,46.79999923706055,48.59000015258789,37.159000396728516,37.9109992980957,93819200,HOOD,0.24203818625319995,,,,,,,,,,,,,,3.703070406296213,,,,,,,0.0,1
2021-08-04,70.38999938964844,70.38999938964844,85.0,54.400001525878906,54.45000076293945,175790500,HOOD,0.5040598405375005,44.96800003051758,15.017691383459423,,,,,,,,,,,,0.8737156147142588,,,,,,,0.0,0
2021-08-05,50.970001220703125,50.970001220703125,66.5,50.459999084472656,62.900001525878906,82470400,HOOD,-0.2758914382346368,48.19800033569336,13.991084800435452,,,,,,,,,,,,-0.5308597449805308,,,,,,,0.0,1
2021-08-06,55.0099983215332,55.0099983215332,60.880001068115234,53.099998474121094,57.77000045776367,70131700,HOOD,0.07926225238521489,52.16999969482422,12.044407048972882,,,,,,,,,,,,-0.14961367957473226,,,,,,,0.0,1
2021-08-09,56.83000183105469,56.83000183105469,59.959999084472656,56.0,59.08399963378906,27495200,HOOD,0.033084958463070135,56.0,8.925833162159405,,,,,,,,,,,,-0.6079490444406738,,,,,,,0.0,0
2021-08-10,53.939998626708984,53.939998626708984,58.4900016784668,53.5,56.48500061035156,17066400,HOOD,-0.050853477234386824,57.427999877929686,7.551318823852171,,,,,,,,,,,,-0.3792952951787948,,,,,,,0.0,0
2021-08-11,51.189998626708984,51.189998626708984,54.60599899291992,49.0,54.56800079345703,15893100,HOOD,-0.05098257452751043,53.587999725341795,2.5130104619218816,49.27799987792969,11.121281356676112,,,,,,,,,,-0.06874912108001685,,,,,,,0.0,0
